批次号,采蜜日期,蜜源标注,实测酸度,含水量,产量
HX-2024-001,2024-05-12,槐,28.5,17.2,125.5
HX-2024-002,2024-05-15,槐,31.2,18.6,98.3
HX-2024-003,2024-05-18,槐,35.8,19.1,156.0
HX-2024-004,2024-05-20,槐,26.4,16.8,142.7
HX-2024-005,2024-05-22,槐,33.1,18.3,110.2
HX-2024-006,2024-05-25,槐,42.3,21.5,88.6
HX-2024-007,2024-05-28,槐,38.7,19.8,133.4
HX-2024-008,2024-05-30,槐,29.6,17.5,105.8
HX-2024-009,2024-06-02,槐,27.8,16.9,118.0
HX-2024-010,2024-06-05,槐,36.2,20.1,141.5
HX-2024-011,2024-06-08,槐,25.3,15.8,95.6
HX-2024-012,2024-06-10,槐,30.5,18.2,129.3
HX-2024-013,2024-06-15,槐,45.1,22.3,76.8
HX-2024-014,2024-06-18,槐,32.4,19.0,112.7
HX-2024-015,2024-06-20,槐,34.7,18.7,135.2
HX-2024-016,2024-07-05,枣,22.1,14.5,210.5
HX-2024-017,2024-07-08,枣,25.6,15.8,185.3
HX-2024-018,2024-07-10,枣,28.3,16.9,230.0
HX-2024-019,2024-07-12,枣,31.5,18.2,195.6
HX-2024-020,2024-07-15,枣,27.4,16.3,225.8
HX-2024-021,2024-07-18,枣,35.2,20.5,168.4
HX-2024-022,2024-07-20,枣,24.8,15.2,240.0
HX-2024-023,2024-07-22,枣,29.7,17.6,205.2
HX-2024-024,2024-07-25,枣,33.6,19.5,175.5
HX-2024-025,2024-07-28,枣,26.9,16.0,218.7
HX-2024-026,2024-08-02,枣,41.8,23.1,145.0
HX-2024-027,2024-08-05,枣,30.2,17.8,198.3
HX-2024-028,2024-08-08,枣,28.5,16.7,220.6
HX-2024-029,2024-08-10,枣,34.1,19.2,180.4
HX-2024-030,2024-08-15,枣,23.7,14.8,255.0
HX-2024-031,2024-04-20,杂花,38.5,21.2,65.8
HX-2024-032,2024-04-25,杂花,42.3,23.5,52.4
HX-2024-033,2024-05-02,杂花,35.6,19.8,78.5
HX-2024-034,2024-05-08,杂花,31.2,18.5,92.3
HX-2024-035,2024-05-15,杂花,37.8,20.1,72.6
HX-2024-036,2024-06-10,杂花,45.5,24.8,45.0
HX-2024-037,2024-06-18,杂花,33.4,18.9,85.7
HX-2024-038,2024-06-25,杂花,39.1,21.5,68.2
HX-2024-039,2024-07-05,杂花,36.7,20.0,75.5
HX-2024-040,2024-07-12,杂花,41.0,22.7,58.3
HX-2024-041,2024-07-20,杂花,34.2,19.2,88.9
HX-2024-042,2024-08-05,杂花,38.9,21.0,70.4
HX-2024-043,2024-08-15,杂花,47.2,25.6,38.5
HX-2024-044,2024-08-20,杂花,32.5,18.3,95.1
HX-2024-045,2024-09-05,杂花,36.8,20.3,62.0
